			d1	d2	d3	d4	d5
documents		0.222	0.222	0.222	0	0	
five		0.699	0	0	0	0	
first		0.699	0	0	0	0	
separated		0	0.699	0	0	0	
title		0	0.699	0	0	0	
character		0	0.699	0	0	0	
will		0	0.398	0	0	0.398	
single		0	0.699	0	0	0	
tab		0	0.699	0	0	0	
line		0	0.398	0	0.398	0	
document		0	0.699	0	0	0	
whitespace		0	0	0.699	0	0	
just		0	0	0.699	0	0	
space		0	0	0.699	0	0	
tabs		0	0	0.699	0	0	
rest		0	0	0.699	0	0	
easier		0	0	0.699	0	0	
confusing		0	0	0.699	0	0	
look		0	0	0	0.699	0	
though		0	0	0	0.699	0	
carriage		0	0	0	0.398	0.398	
entity		0	0	0	0.699	0	
languages		0	0	0	0.398	0.398	
returns		0	0	0	0.699	0	
allow		0	0	0	0.699	0	
need		0	0	0	0.699	0	
return		0	0	0	0	0.699	
text		0	0	0	0	0.699	
insist		0	0	0	0	0.699	
delineated		0	0	0	0	0.699	
statements		0	0	0	0	0.699	
block		0	0	0	0	0.699	
